geracao,melhor_aptidao,aptidao_media
0,0.133877,-0.004702
1,0.134907,0.001688
2,0.140480,0.027434
3,0.145957,0.046854
4,0.145957,0.045512
5,0.145957,0.065901
6,0.145957,0.062584
7,0.145957,0.061784
8,0.146313,0.053391
9,0.146313,0.076322
10,0.146313,0.084374
11,0.146313,0.085051
12,0.149070,0.072238
13,0.159078,0.074829
14,0.159078,0.072843
15,0.159078,0.076018
16,0.159078,0.075004
17,0.159078,0.087311
18,0.159345,0.088111
19,0.159345,0.090553
20,0.159345,0.084382
21,0.159345,0.094654
22,0.159345,0.087326
23,0.159345,0.092357
24,0.159345,0.102505
25,0.159345,0.103177
26,0.160130,0.095485
27,0.162254,0.094395
28,0.162254,0.096366
29,0.162254,0.088239
30,0.162254,0.095758
31,0.162254,0.100225
32,0.162254,0.108197
33,0.162254,0.106810
34,0.162254,0.104443
35,0.162254,0.106310
36,0.162254,0.103757
37,0.162254,0.099633
38,0.162254,0.104753
39,0.162254,0.108448
40,0.163482,0.110227
41,0.163482,0.103521
42,0.163482,0.099756
43,0.163482,0.103317
44,0.163482,0.111672
45,0.163482,0.118476
46,0.163482,0.116822
47,0.163482,0.110788
48,0.163482,0.116522
49,0.164059,0.111902
50,0.164244,0.119320
51,0.165390,0.110652
52,0.165390,0.114957
53,0.165390,0.116191
54,0.165390,0.116875
55,0.165390,0.114912
56,0.165390,0.116462
57,0.165390,0.119989
58,0.165905,0.121820
59,0.165905,0.115810
60,0.166250,0.117717
61,0.166250,0.110647
62,0.166250,0.111467
63,0.166250,0.110345
64,0.166319,0.113193
65,0.166319,0.117953
66,0.166319,0.117121
67,0.166319,0.113735
68,0.166319,0.118290
69,0.166319,0.113927
70,0.166319,0.113029
71,0.166319,0.110032
72,0.166319,0.107988
73,0.166319,0.101628
74,0.166335,0.101065
75,0.166792,0.103587
76,0.166792,0.107335
77,0.166792,0.110559
78,0.166792,0.111362
79,0.166792,0.113038
80,0.166792,0.110109
81,0.166792,0.101326
82,0.166792,0.101493
83,0.166792,0.103365
84,0.166792,0.107551
85,0.166792,0.109773
86,0.166792,0.111190
87,0.166792,0.105373
88,0.166792,0.117693
89,0.166792,0.119917
90,0.166792,0.105246
91,0.166792,0.117678
92,0.166792,0.111348
93,0.166792,0.113386
94,0.166792,0.102670
95,0.166792,0.111879
96,0.166792,0.111890
97,0.166792,0.113261
98,0.166792,0.111851
99,0.166792,0.106631
100,0.166792,0.110255
101,0.166792,0.109792
102,0.166792,0.108869
103,0.166792,0.102251
104,0.166792,0.096279
105,0.166792,0.091656
106,0.166792,0.098503
107,0.166792,0.099901
108,0.167853,0.104032
109,0.167853,0.108610
110,0.167853,0.115636
111,0.167853,0.112789
112,0.168092,0.102153
113,0.168092,0.100208
114,0.168092,0.099345
115,0.168092,0.101592
116,0.168092,0.098694
117,0.168092,0.102434
118,0.168092,0.109659
119,0.168092,0.107732
120,0.168092,0.110684
121,0.168092,0.104114
122,0.168092,0.110166
123,0.168092,0.109439
124,0.168092,0.111833
125,0.168092,0.117355
126,0.168092,0.113879
127,0.168092,0.119033
128,0.168092,0.116526
129,0.168092,0.108973
130,0.168092,0.107492
131,0.168092,0.106413
132,0.168092,0.110000
133,0.168092,0.110869
134,0.168092,0.106926
135,0.168092,0.106751
136,0.168092,0.093243
137,0.168092,0.096871
138,0.168425,0.105716
139,0.168425,0.112257
140,0.168425,0.116358
141,0.168425,0.117966
142,0.168425,0.114019
143,0.168425,0.119475
144,0.168425,0.119584
145,0.168425,0.120070
146,0.168425,0.111990
147,0.168425,0.113028
148,0.168425,0.111975
149,0.168425,0.115700
150,0.168425,0.117603
151,0.168425,0.115850
152,0.168425,0.119656
153,0.168425,0.119372
154,0.168425,0.113808
155,0.168425,0.119495
156,0.168425,0.115843
157,0.168425,0.120551
158,0.168425,0.119926
159,0.168425,0.120492
160,0.168425,0.106648
161,0.168425,0.102439
162,0.168425,0.111906
163,0.168425,0.114799
164,0.168425,0.118994
165,0.168425,0.117464
166,0.168425,0.111487
167,0.168425,0.112781
168,0.168425,0.105577
169,0.168425,0.117181
170,0.168425,0.102798
171,0.168425,0.113208
172,0.168425,0.110509
173,0.168425,0.123095
174,0.168428,0.124540
175,0.168428,0.119603
176,0.168428,0.117772
177,0.168428,0.118844
178,0.168591,0.115579
179,0.168591,0.117495
180,0.168591,0.115502
181,0.168591,0.118792
182,0.168591,0.125372
183,0.168591,0.122180
184,0.168591,0.123713
185,0.168591,0.122768
186,0.168591,0.120284
187,0.168591,0.122194
188,0.168591,0.124096
189,0.168591,0.125102
190,0.168591,0.107530
191,0.168591,0.110178
192,0.168907,0.109097
193,0.168907,0.107423
194,0.168907,0.107949
195,0.168907,0.106094
196,0.168907,0.112194
197,0.168907,0.106380
198,0.168907,0.114072
199,0.168907,0.121582
200,0.168907,0.117382
201,0.168907,0.118501
202,0.168907,0.114904
203,0.168907,0.114931
204,0.168907,0.103237
205,0.168907,0.105337
206,0.169073,0.105160
207,0.169073,0.102761
208,0.169073,0.110439
209,0.169073,0.107655
210,0.169073,0.116332
211,0.169073,0.114428
212,0.169073,0.116642
213,0.169073,0.110614
214,0.169073,0.113365
215,0.169073,0.111437
216,0.169073,0.117819
217,0.169073,0.112597
218,0.169073,0.107943
219,0.169073,0.113965
220,0.169073,0.113934
221,0.169073,0.113112
222,0.169073,0.096063
223,0.169073,0.101243
224,0.169073,0.099110
225,0.169073,0.094948
226,0.169073,0.091031
227,0.169193,0.092252
228,0.169193,0.095988
229,0.169193,0.101929
230,0.169193,0.091884
231,0.169193,0.095896
232,0.169193,0.090569
233,0.169193,0.097135
234,0.169193,0.110135
235,0.169193,0.110560
236,0.169193,0.109654
237,0.169193,0.114039
238,0.169193,0.118425
239,0.169193,0.121787
240,0.169193,0.116084
241,0.169193,0.125157
242,0.169193,0.126669
243,0.169193,0.125254
244,0.169193,0.120797
245,0.169193,0.116723
246,0.169193,0.115968
247,0.169193,0.117090
248,0.169193,0.109710
249,0.169193,0.109286
250,0.169193,0.113765
251,0.169193,0.090795
252,0.169193,0.093169
253,0.169193,0.094589
254,0.169193,0.074767
255,0.169193,0.106800
256,0.169193,0.103562
257,0.169193,0.101987
258,0.169193,0.106125
259,0.169193,0.111264
260,0.169193,0.104807
261,0.169193,0.105426
262,0.169193,0.111195
263,0.169193,0.109093
264,0.169193,0.105419
265,0.169193,0.100712
266,0.169193,0.102642
267,0.169193,0.105137
268,0.169193,0.114373
269,0.169193,0.116246
270,0.169193,0.108222
271,0.169193,0.112237
272,0.169193,0.107718
273,0.169193,0.107633
274,0.169193,0.105530
275,0.169193,0.103171
276,0.169193,0.110671
277,0.169193,0.107513
278,0.169193,0.108932
279,0.169193,0.108383
280,0.169193,0.109011
281,0.169193,0.107205
282,0.169329,0.106568
283,0.169329,0.109131
284,0.169329,0.101517
285,0.169329,0.106088
286,0.169329,0.101618
287,0.169329,0.101396
288,0.169329,0.110844
289,0.169329,0.109815
290,0.169329,0.106665
291,0.169329,0.112143
292,0.169329,0.111660
293,0.169329,0.111637
294,0.169329,0.097962
295,0.169329,0.095339
296,0.169329,0.102909
297,0.169329,0.106085
298,0.169329,0.093694
299,0.169329,0.102728
300,0.169329,0.098037
301,0.169329,0.093720
302,0.169329,0.103190
303,0.169329,0.109623
304,0.169329,0.093968
305,0.169329,0.105112
306,0.169329,0.107385
307,0.169329,0.098460
308,0.169329,0.092951
309,0.169329,0.096274
310,0.169329,0.101226
311,0.169329,0.114013
312,0.169329,0.115705
313,0.169329,0.110778
314,0.169329,0.119835
315,0.169329,0.120414
