geracao,melhor_aptidao,aptidao_media
0,0.144271,0.085694
1,0.153547,0.108940
2,0.153547,0.119801
3,0.153547,0.127032
4,0.156579,0.134925
5,0.156579,0.137223
6,0.157953,0.141104
7,0.158225,0.139892
8,0.159575,0.142763
9,0.159575,0.143286
10,0.161010,0.147586
11,0.161010,0.143886
12,0.161010,0.147867
13,0.163030,0.147512
14,0.163845,0.147825
15,0.164021,0.149604
16,0.164021,0.148972
17,0.164021,0.147133
18,0.164029,0.148987
19,0.165013,0.150423
20,0.165013,0.149703
21,0.165013,0.151768
22,0.165325,0.154788
23,0.165325,0.154138
24,0.165325,0.151933
25,0.165325,0.151854
26,0.165325,0.151735
27,0.165325,0.153626
28,0.165453,0.151146
29,0.165861,0.151106
30,0.165861,0.150681
31,0.165947,0.152408
32,0.166068,0.154426
33,0.166068,0.151234
34,0.166214,0.154992
35,0.166319,0.152150
36,0.166319,0.151760
37,0.166347,0.150322
38,0.166347,0.151753
39,0.166465,0.153200
40,0.166465,0.152737
41,0.166598,0.152759
42,0.166755,0.152955
43,0.166768,0.154123
44,0.166887,0.152116
45,0.166887,0.155033
46,0.166900,0.150459
47,0.167190,0.151623
48,0.167190,0.153657
49,0.167246,0.154122
50,0.167246,0.154089
51,0.167246,0.151880
52,0.167286,0.154554
53,0.167365,0.151991
54,0.167365,0.154022
55,0.167365,0.154086
56,0.167405,0.151520
57,0.167405,0.151463
58,0.167405,0.153211
59,0.167405,0.152933
60,0.167405,0.155365
61,0.167412,0.155097
62,0.167412,0.151316
63,0.167459,0.154575
64,0.167459,0.150620
65,0.167466,0.149558
66,0.167466,0.154093
67,0.167479,0.153175
68,0.167479,0.152748
69,0.167479,0.154155
70,0.167479,0.155736
71,0.167479,0.154531
72,0.167479,0.155000
73,0.167479,0.152765
74,0.167479,0.154344
75,0.167479,0.150827
76,0.167479,0.152490
77,0.167657,0.156157
78,0.167657,0.156803
79,0.167657,0.152444
80,0.167657,0.150525
81,0.167657,0.151933
82,0.167657,0.153773
83,0.167657,0.152121
84,0.167704,0.156185
85,0.167704,0.154655
86,0.167704,0.154696
87,0.167704,0.155624
88,0.167720,0.152770
89,0.167727,0.154928
90,0.167808,0.154888
91,0.167808,0.152787
92,0.167808,0.156196
93,0.167808,0.155511
94,0.167808,0.156025
95,0.167878,0.154226
96,0.167878,0.156366
97,0.167878,0.154495
98,0.167878,0.155194
99,0.167895,0.154443
100,0.167895,0.153256
101,0.167895,0.152784
102,0.167911,0.154813
103,0.167911,0.155232
104,0.167911,0.153656
105,0.167911,0.157177
106,0.168009,0.154379
107,0.168258,0.154626
108,0.168258,0.154420
109,0.168258,0.156051
110,0.168258,0.157421
111,0.168274,0.158189
112,0.168372,0.158920
113,0.168372,0.155317
114,0.168493,0.155953
115,0.168493,0.157763
116,0.168608,0.153744
117,0.168608,0.153034
118,0.169376,0.156590
119,0.169376,0.154929
120,0.169376,0.153292
121,0.169376,0.152274
122,0.169474,0.153933
123,0.169474,0.155516
124,0.169474,0.157018
125,0.169474,0.153136
126,0.169474,0.155996
127,0.169474,0.159655
128,0.169474,0.158770
129,0.169474,0.156980
130,0.169474,0.149863
131,0.169474,0.156586
132,0.169474,0.155674
133,0.169474,0.154596
134,0.169649,0.156427
135,0.169649,0.154096
136,0.169649,0.153051
137,0.169649,0.155310
138,0.169649,0.156132
139,0.169649,0.158809
140,0.169649,0.155100
141,0.169649,0.157364
142,0.169649,0.156016
143,0.169649,0.155618
144,0.169649,0.160316
145,0.169649,0.156088
146,0.169649,0.156319
147,0.169649,0.154113
148,0.169649,0.154643
149,0.169649,0.155879
150,0.169649,0.154188
151,0.169649,0.155980
152,0.169649,0.157749
153,0.169649,0.158526
154,0.169649,0.154309
155,0.169649,0.157232
156,0.169649,0.154014
157,0.169649,0.154771
158,0.169649,0.157019
159,0.169649,0.155636
160,0.169649,0.154507
161,0.169649,0.156741
162,0.169650,0.154025
163,0.169650,0.153277
164,0.169650,0.157972
165,0.169750,0.153275
166,0.169750,0.157057
167,0.169750,0.156257
168,0.169750,0.153029
169,0.169750,0.155490
170,0.169793,0.152907
171,0.169793,0.156534
172,0.169793,0.154112
173,0.169793,0.155922
174,0.169793,0.157624
175,0.169793,0.157072
176,0.169793,0.152748
177,0.169793,0.154821
178,0.169793,0.156223
179,0.169821,0.155683
180,0.169821,0.153237
181,0.169821,0.153238
182,0.169821,0.154888
183,0.169821,0.152744
184,0.169821,0.155019
185,0.169886,0.152704
186,0.169886,0.155684
187,0.169886,0.155921
188,0.169886,0.156425
189,0.169886,0.154305
190,0.169886,0.154862
191,0.169886,0.158233
192,0.169886,0.154595
193,0.169931,0.154857
194,0.169931,0.155090
195,0.169931,0.156021
196,0.169931,0.157325
197,0.169931,0.156489
198,0.169931,0.153664
199,0.170062,0.155923
200,0.170062,0.156792
201,0.170062,0.155495
202,0.170062,0.156710
203,0.170062,0.156865
204,0.170062,0.156475
205,0.170062,0.157748
206,0.170062,0.155523
207,0.170062,0.154614
208,0.170062,0.155051
209,0.170062,0.156270
210,0.170062,0.156308
211,0.170068,0.157580
212,0.170068,0.153919
213,0.170068,0.156465
214,0.170068,0.156350
215,0.170068,0.155550
216,0.170068,0.154431
217,0.170068,0.153641
218,0.170068,0.156407
219,0.170068,0.153231
220,0.170068,0.154583
221,0.170068,0.155412
222,0.170068,0.157063
223,0.170068,0.156796
224,0.170068,0.154950
225,0.170068,0.154213
226,0.170068,0.157370
227,0.170068,0.153664
228,0.170068,0.158461
229,0.170068,0.156551
230,0.170068,0.155059
231,0.170068,0.156939
232,0.170068,0.158328
233,0.170068,0.155054
234,0.170068,0.159494
235,0.170068,0.154060
236,0.170095,0.156775
237,0.170095,0.159107
238,0.170095,0.156200
239,0.170095,0.156154
240,0.170095,0.155666
241,0.170095,0.155655
242,0.170095,0.155719
243,0.170101,0.157429
244,0.170101,0.153491
245,0.170101,0.154420
246,0.170101,0.153845
247,0.170117,0.153543
248,0.170117,0.153218
249,0.170123,0.154345
250,0.170123,0.158256
251,0.170123,0.153639
252,0.170123,0.154657
253,0.170123,0.158635
254,0.170123,0.156371
255,0.170123,0.154251
256,0.170123,0.156093
257,0.170123,0.157472
258,0.170123,0.154629
259,0.170123,0.156284
260,0.170123,0.154742
261,0.170123,0.153027
262,0.170123,0.155015
263,0.170123,0.157966
264,0.170123,0.157802
265,0.170123,0.155359
266,0.170123,0.154674
267,0.170123,0.158063
268,0.170123,0.155420
269,0.170123,0.153662
270,0.170123,0.157242
271,0.170123,0.156480
272,0.170123,0.158104
273,0.170123,0.154016
274,0.170123,0.155724
275,0.170123,0.156616
276,0.170123,0.153613
277,0.170123,0.155846
278,0.170123,0.152311
279,0.170123,0.158939
280,0.170123,0.157014
281,0.170123,0.152752
282,0.170123,0.154912
283,0.170123,0.152668
284,0.170123,0.153608
285,0.170123,0.155142
286,0.170123,0.156742
287,0.170123,0.154798
288,0.170123,0.156165
289,0.170123,0.156545
290,0.170123,0.154781
291,0.170123,0.155508
292,0.170123,0.153732
293,0.170123,0.156515
294,0.170123,0.155678
295,0.170123,0.159558
296,0.170123,0.156897
297,0.170123,0.153155
298,0.170123,0.156202
299,0.170123,0.155492
300,0.170123,0.155188
301,0.170123,0.155938
302,0.170123,0.156715
303,0.170123,0.155789
304,0.170123,0.154378
305,0.170123,0.154423
306,0.170123,0.155727
307,0.170123,0.158008
308,0.170123,0.157243
309,0.170123,0.154081
310,0.170123,0.152460
311,0.170123,0.157982
312,0.170123,0.157671
313,0.170123,0.156432
314,0.170123,0.157408
315,0.170123,0.155000
316,0.170123,0.157812
317,0.170123,0.156885
318,0.170123,0.158856
319,0.170123,0.157581
320,0.170123,0.155657
321,0.170123,0.155876
322,0.170123,0.156642
323,0.170123,0.155508
324,0.170123,0.155754
325,0.170123,0.156732
326,0.170123,0.155877
327,0.170123,0.152676
328,0.170123,0.156425
329,0.170123,0.152686
330,0.170123,0.154655
331,0.170123,0.154209
332,0.170123,0.155704
333,0.170123,0.152835
334,0.170123,0.157665
335,0.170123,0.156136
336,0.170123,0.157909
337,0.170123,0.154085
338,0.170123,0.153466
339,0.170123,0.151963
340,0.170123,0.155970
341,0.170123,0.155791
342,0.170123,0.153891
343,0.170123,0.157693
344,0.170123,0.156139
345,0.170123,0.152879
346,0.170123,0.152917
347,0.170123,0.149420
348,0.170123,0.157695
349,0.170123,0.157552
350,0.170123,0.157913
351,0.170123,0.154742
352,0.170123,0.156405
353,0.170123,0.152561
354,0.170123,0.155218
355,0.170123,0.154973
356,0.170123,0.154000
357,0.170123,0.154018
358,0.170123,0.156380
359,0.170123,0.151437
360,0.170123,0.157769
361,0.170123,0.157543
362,0.170123,0.153644
363,0.170123,0.154796
364,0.170123,0.155796
365,0.170137,0.157676
366,0.170137,0.154956
